Place ID,Name,Latitude,Longitude,Type,Rating,Reviews,Freguesias
ChIJwVPhxKtlJA0RvBSxQFbZSKY,Porto,41.1579438,-8.629105299999999,"['locality', 'political']",No rating,0,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
ChIJBRJ_RaBlJA0RzMGWzelmVCA,Portus Cale Hotel,41.1593262,-8.636118200000002,"['lodging', 'point_of_interest', 'establishment']",4.3,1220,Lordelo do Ouro e Massarelos
ChIJ876SKg9lJA0RWtALZoqFR6g,HF Ipanema Porto,41.1527857,-8.6298931,"['lodging', 'point_of_interest', 'establishment']",4.3,2458,Lordelo do Ouro e Massarelos
ChIJw4VzFwllJA0RGRJA6Bdf-U8,HF Fénix Porto,41.15449119999999,-8.6306215,"['lodging', 'point_of_interest', 'establishment']",4.4,2017,Lordelo do Ouro e Massarelos
ChIJrfpZ9AhlJA0RDRwt5Ox15vs,Hotel da Música,41.156361,-8.629254699999999,"['parking', 'bar', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.3,1609,Lordelo do Ouro e Massarelos
ChIJTVOyg59lJA0RZh7FdQ3e0IY,Porto Palácio Hotel by The Editory,41.15930350000001,-8.6388267,"['lodging', 'point_of_interest', 'establishment']",4.5,3381,Lordelo do Ouro e Massarelos
ChIJHxXPVqhlJA0RHmGUdg0OLFw,O'Porto Seven - Guest House,41.1603731,-8.624785,"['lodging', 'point_of_interest', 'establishment']",4.5,128,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
ChIJPaYvy6dlJA0RP5lkQpcV_sA,Oporto Music Hostel,41.1603871,-8.628147799999999,"['lodging', 'point_of_interest', 'establishment']",4.2,191,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
ChIJiytzwgllJA0RAhwFyx5KTmU,Hotel Douro,41.156863,-8.6308805,"['lodging', 'point_of_interest', 'establishment']",3.5,437,Lordelo do Ouro e Massarelos
ChIJV97IMgdlJA0RVWLTlogsfiw,Casa do Conto,41.1566213,-8.6215994,"['lodging', 'point_of_interest', 'establishment']",4.7,110,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
ChIJVz9dkOFlJA0RAs-iL8niKmY,Hotel Vice Rei Porto,41.1555415,-8.6277831,"['lodging', 'point_of_interest', 'establishment']",3.7,784,Lordelo do Ouro e Massarelos
ChIJO9p86qBlJA0RqZcBtA1ZFFo,Hospedaria Boavista,41.1588809,-8.6339756,"['lodging', 'point_of_interest', 'establishment']",3.1,94,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
ChIJxdkx7KdlJA0RmuZ4WoUgHMQ,Apartment Boavista Roundabout by Sweet Porto,41.1587112,-8.628137599999999,"['lodging', 'point_of_interest', 'establishment']",4.4,22,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
ChIJ_xJcOQdlJA0RbwzAwDV0Evw,So Cool Hostel Porto,41.156744,-8.622541300000002,"['lodging', 'point_of_interest', 'establishment']",3.9,534,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
ChIJMz4ZaQhlJA0R4b1pNURBvVs,BO - Julio Dinis * Apartments & Parking,41.1562073,-8.628195000000002,"['lodging', 'point_of_interest', 'establishment']",2,2,Lordelo do Ouro e Massarelos
ChIJgw2eZ6dlJA0RF1dTnlcg_wI,Boavista Class Inn,41.1580556,-8.631111100000002,"['lodging', 'point_of_interest', 'establishment']",4.1,162,Lordelo do Ouro e Massarelos
